country,wp_intervention,outcome,mean,se,lb,ub,wps,households,sample_group
Malawi,DSW,disctcr_02,0.2641955835962145,0.02775335375256716,0.2098000097909833,0.31859115740144567,176,1269,NA
Malawi,ILC,disctcr_02,0.3068181818181818,0.050841963288319525,0.20716976486976796,0.4064665987665957,92,352,NA
Uganda,DSW,disctcr_02,0.30434782608695654,0.028607493583265736,0.24827816897579502,0.36041748319811806,151,990,NA
Malawi,DSW,discfcr_02,0.20724980299448387,0.024132916591082472,0.1599501556340531,0.2545494503549146,176,1269,NA
Malawi,ILC,discfcr_02,0.14772727272727273,0.03013006848897014,0.0886734236371661,0.20678112181737937,92,352,NA
Uganda,DSW,discfcr_02,0.19635627530364372,0.024052557398868496,0.14921412906577908,0.24349842154150836,151,990,NA
Malawi,DSW,disctcr_02,0.205607476635514,0.03427633959977179,0.13842708549809726,0.27278786777293074,56,331,ILC
Malawi,ILC water collection point,disctcr_02,0.2823920265780731,0.05387947336614632,0.17679019927444128,0.38799385388170493,82,308,ILC
Malawi,ILC water point,disctcr_02,0.45098039215686275,0.09228288203400749,0.27010926698064974,0.6318515173330758,10,60,ILC
Malawi,DSW,discfcr_02,0.1806853582554517,0.03270489997164528,0.11658493219304193,0.24478578431786147,56,331,ILC
Malawi,ILC water collection point,discfcr_02,0.12956810631229237,0.03122975187522785,0.06835891739072358,0.19077729523386117,82,308,ILC
Malawi,ILC water point,discfcr_02,0.2549019607843137,0.06991955116955514,0.11786215867678024,0.3919417628918472,10,60,ILC
Malawi,DSW,disctcr_02,0.30114942528735633,0.04887525861352317,0.2053556786697699,0.39694317190494277,45,442,Footprint
Malawi,DSW,disctcr_02,0.26953125,0.050341092733172825,0.17086452130059027,0.36819797869940973,75,520,Expansion
Malawi,DSW,disctcr_02,0.205607476635514,0.03427633959977179,0.13842708549809726,0.27278786777293074,56,331,ILC
Malawi,ILC,disctcr_02,0.3068181818181818,0.050841963288319525,0.20716976486976796,0.4064665987665957,92,368,ILC
Uganda,DSW,disctcr_02,0.2797494780793319,0.043646981446613414,0.19420296641008172,0.36529598974858213,55,547,Footprint
Uganda,DSW,disctcr_02,0.32745098039215687,0.03727310051548629,0.25439704578966243,0.4005049149946513,96,588,Expansion
Malawi,DSW,discfcr_02,0.21559633027522937,0.03393434316462477,0.14908623983354186,0.2821064207169169,45,442,Footprint
Malawi,DSW,discfcr_02,0.216796875,0.04882741795133904,0.121096894357291,0.312496855642709,75,520,Expansion
Malawi,DSW,discfcr_02,0.1806853582554517,0.03270489997164528,0.11658493219304193,0.24478578431786147,56,331,ILC
Malawi,ILC,discfcr_02,0.14772727272727273,0.03013006848897014,0.0886734236371661,0.20678112181737937,92,368,ILC
Uganda,DSW,discfcr_02,0.1799163179916318,0.0365894191634594,0.10820237421601173,0.2516302617672519,55,547,Footprint
Uganda,DSW,discfcr_02,0.21176470588235294,0.03164609669357273,0.1497394961116783,0.27378991565302757,96,588,Expansion
